label;description;id
Ambiente;Encargado de la protección ambiental;3ebdb2c6-a148-4d5f-bb36-f1d530b02483
Cultura Recreación y Deporte;Promueve el patrimonio cultural;f27ab995-b8f1-436b-80a1-e3465bb876ad
Desarrollo Económico Industria y Turismo;Impulsa el crecimiento económico;fd4c9d0b-a750-4831-bbce-27c98c43ab17
Educación;Garantiza el acceso a educación de calidad;7a47affd-5955-4ef4-baaa-3f50fb750c0b
Gestión Jurídica;Brinda asesoría legal;df651548-3cd9-450b-b85e-d7f8960b020d
Gestión Publica;Enfocado en mejorar la administración pública;ae080b01-bd39-45e3-b01e-266b6d9d6de8
Gobierno;Encargado de la gobernanza;4f3b76a2-ce2f-45e2-b454-dd3254fdf8e2
Hábitat;Responsable de la vivienda;40ec80df-f409-4400-ada2-2b327d7d9d2b
Hacienda;Maneja las finanzas públicas;59ca38a3-9566-4954-ab39-8bde72ed7042
Integración Social;Diseña políticas y programas para la inclusión social y el apoyo a poblaciones vulnerables.;2cd3a030-dc19-4170-809a-43e5951533d4
Movilidad;Planifica y administra la infraestructura de transporte;365a0dd6-3749-42eb-adaf-8e3e723efc78
Mujeres;Formula e implementa políticas de equidad de género;95a78ddd-992e-48c7-84ab-5624176d21de
Órganos de Control;Entidades encargadas de la vigilancia;09499aa5-1798-4a03-b31a-333840c90322
Planeación;Responsable del diseño y ejecución de planes estratégicos y de desarrollo en la ciudad.;8ff8cee4-3a3f-4dcd-89ab-a063366cc323
Salud;Administra los servicios de salud pública;b0990b59-6410-4f37-970a-3d3d3e650175
Sector descentralizado territorialmente;Conformado por las 20 alcaldías locales de Bogotá;4599728e-f9d1-4091-b3f7-8b915f2772b6
Seguridad Convivencia y Justicia;Se ocupa de la seguridad ciudadana;561e4019-eeb6-4c9b-abc4-5664262110d6
