actor_segment_id;sigep_code;treasury_code;initials;label;description;mission;vision;id
3ebdb2c6-a148-4d5f-bb36-f1d530b02483;4300;203;IDIGER;Instituto Distrital de Gestión de Riesgos y Cambio Climático;Entidad que lidera la gestión de riesgos y la respuesta ante emergencias en Bogotá.;El IDIGER emprende acciones y genera lineamientos para la gestión del riesgo de desastres y la adaptación al cambio climático;;13c871d7-fe73-4392-8291-30cc78ffa857
3ebdb2c6-a148-4d5f-bb36-f1d530b02483;2841;229;IDPYBA;Instituto Distrital de Protección y Bienestar Animal;Entidad dedicada a la protección y bienestar de los animales en Bogotá.;Somos la primera entidad pública encargada de la protección y el bienestar animal;;e739d624-2335-4c9f-87af-db9ba828e296
3ebdb2c6-a148-4d5f-bb36-f1d530b02483;4821;218;JBB;Jardín Botánico de Bogotá José Celestino Mutis;Jardín botánico que promueve la conservación y el estudio de la biodiversidad.;Investigar y conservar la flora de los ecosistemas altoandinos y de páramo y gestionar las coberturas vegetales urbanas;;eb0a045e-2518-4482-a623-8351a9340e2a
3ebdb2c6-a148-4d5f-bb36-f1d530b02483;6125;126;SDA;Secretaría Distrital de Ambiente;Entidad que lidera la gestión ambiental y la protección de los recursos naturales.;La Secretaria Distrital de Ambiente;;f44cbd7c-171d-4b35-9133-8901fb67c3a0
f27ab995-b8f1-436b-80a1-e3465bb876ad;1401;260;Canal Capital;Canal Capital;Medio de comunicación público encargado de informar y educar a la ciudadanía.;Capital es el Sistema de comunicación pública de Bogotá región que ubica a la ciudadanía en el centro de su operación y;;7685ff5a-9ae7-4ffc-b81d-8ab9fa125415
f27ab995-b8f1-436b-80a1-e3465bb876ad;4387;215;FUGA;Fundación Gilberto Alzate Avendaño;Fundación dedicada a la promoción de la cultura y el arte en la ciudad.;La Fuga es la plataforma pública de la administración distrital;;9a322050-1f3a-4431-87f4-5d24fb1adcf5
f27ab995-b8f1-436b-80a1-e3465bb876ad;8049;222;IDARTES;Instituto Distrital de las Artes;Organización que promueve y gestiona el desarrollo cultural en Bogotá.;En su calidad de entidad pública del sector Cultura Recreación y Deporte de la Alcaldía Mayor de Bogotá;;9c4dae24-05a5-454b-bd06-b44f7b4b5aab
f27ab995-b8f1-436b-80a1-e3465bb876ad;2637;213;IDPC;Instituto Distrital de Patrimonio Cultural;Instituto responsable de la protección y preservación del patrimonio cultural del distrito.;El Instituto Distrital de Patrimonio Cultural (IDPC) gestiona y acompaña procesos y estrategias para la protección;;26cbed04-cff6-45d8-8c3b-98ac8e94a5de
f27ab995-b8f1-436b-80a1-e3465bb876ad;4640;211;IDRD;Instituto Distrital de Recreación y Deporte;Organismo encargado del fomento del deporte y la recreación en la ciudad.;Fomentar el bienestar integral de la ciudadanía a través de estrategias de actividad física;;6c08e1b7-e43e-42ef-ad4a-9bc3c77ed37f
f27ab995-b8f1-436b-80a1-e3465bb876ad;4881;216;OFB;Orquesta Filarmónica de Bogotá;Orquesta que fomenta el desarrollo musical y artístico en Bogotá.;Cultivar y enriquecer la ciudadanía;;e819483d-de24-47eb-9b19-97a2880958fe
